#,Title,Artist,Movie,Duration,YouTube URL,Video ID,Year
1,Bohemian Rhapsody,Queen,A Night at the Opera,5:55,https://www.youtube.com/watch?v=fJ9rUzIMcZQ,fJ9rUzIMcZQ,1975
2,Don't Stop Me Now,Queen,Jazz,3:29,https://www.youtube.com/watch?v=HgzGwKwLmgM,HgzGwKwLmgM,1978
3,Another One Bites the Dust,Queen,The Game,3:35,https://www.youtube.com/watch?v=rY0WxgSXdEE,rY0WxgSXdEE,1980
4,We Are the Champions,Queen,News of the World,2:59,https://www.youtube.com/watch?v=04854XqcfCY,04854XqcfCY,1977
5,We Will Rock You,Queen,News of the World,2:02,https://www.youtube.com/watch?v=-tJYN-eG1zk,-tJYN-eG1zk,1977
6,Under Pressure (ft. David Bowie),Queen,Hot Space,4:04,https://www.youtube.com/watch?v=a01QQZKyl3I,a01QQZKyl3I,1981
7,Radio Ga Ga,Queen,The Works,5:48,https://www.youtube.com/watch?v=azdwsXLmrHE,azdwsXLmrHE,1984
8,I Want to Break Free,Queen,The Works,4:22,https://www.youtube.com/watch?v=f4Mc-NYPHaQ,f4Mc-NYPHaQ,1984
9,Somebody to Love,Queen,A Day at the Races,4:56,https://www.youtube.com/watch?v=kijpcUv-b8M,kijpcUv-b8M,1976
10,Crazy Little Thing Called Love,Queen,The Game,2:44,https://www.youtube.com/watch?v=k2C5TjS2qZM,k2C5TjS2qZM,1979
11,Billie Jean,Michael Jackson,Thriller,4:54,https://www.youtube.com/watch?v=Zi_XLOBDo_Y,Zi_XLOBDo_Y,1982
12,Thriller,Michael Jackson,Thriller,5:57,https://www.youtube.com/watch?v=sOnqjkJTMaA,sOnqjkJTMaA,1982
13,Beat It,Michael Jackson,Thriller,4:18,https://www.youtube.com/watch?v=oRdxUFDoQe0,oRdxUFDoQe0,1982
14,Smooth Criminal,Michael Jackson,Bad,4:17,https://www.youtube.com/watch?v=h_D3VFfhvs4,h_D3VFfhvs4,1987
15,Bad,Michael Jackson,Bad,4:07,https://www.youtube.com/watch?v=dsUXAEzaC3Q,dsUXAEzaC3Q,1987
16,Black or White,Michael Jackson,Dangerous,4:16,https://www.youtube.com/watch?v=YJy0yUCYfFQ,YJy0yUCYfFQ,1991
17,Don't Stop 'Til You Get Enough,Michael Jackson,Off the Wall,6:05,https://www.youtube.com/watch?v=yURRmWtbTbo,yURRmWtbTbo,1979
18,Remember the Time,Michael Jackson,Dangerous,3:59,https://www.youtube.com/watch?v=LeiFF0gvqcc,LeiFF0gvqcc,1992
19,Hey Jude,The Beatles,Hey Jude,7:11,https://www.youtube.com/watch?v=A_MjCqQoLLA,A_MjCqQoLLA,1968
20,Let It Be,The Beatles,Let It Be,4:03,https://www.youtube.com/watch?v=pQN-pnXPaVg,pQN-pnXPaVg,1970
21,Yesterday,The Beatles,Help!,2:05,https://www.youtube.com/watch?v=NrgmdOz227I,NrgmdOz227I,1965
22,Come Together,The Beatles,Abbey Road,4:19,https://www.youtube.com/watch?v=45cYwDMibGo,45cYwDMibGo,1969
23,Here Comes the Sun,The Beatles,Abbey Road,3:05,https://www.youtube.com/watch?v=KQetemT1sWc,KQetemT1sWc,1969
24,All You Need Is Love,The Beatles,Magical Mystery Tour,3:48,https://www.youtube.com/watch?v=_7xMfIp-irg,_7xMfIp-irg,1967
25,Twist and Shout,The Beatles,Please Please Me,2:33,https://www.youtube.com/watch?v=ZGgDYiMv5_0,ZGgDYiMv5_0,1963
26,Hotel California,Eagles,Hotel California,6:31,https://www.youtube.com/watch?v=698Ck8QjR0A,698Ck8QjR0A,1976
27,Take It Easy,Eagles,Eagles,3:31,https://www.youtube.com/watch?v=f8B8G4sS3_o,f8B8G4sS3_o,1972
28,I Will Always Love You,Whitney Houston,The Bodyguard,4:31,https://www.youtube.com/watch?v=3JWTaaS7LdU,3JWTaaS7LdU,1992
29,I Wanna Dance with Somebody,Whitney Houston,Whitney,4:51,https://www.youtube.com/watch?v=eH3giaIzOOA,eH3giaIzOOA,1987
30,Greatest Love of All,Whitney Houston,Whitney Houston,4:51,https://www.youtube.com/watch?v=IYzlVDlE72w,IYzlVDlE72w,1985
31,Rocket Man,Elton John,Honky Château,4:41,https://www.youtube.com/watch?v=DtVBCG6ThDk,DtVBCG6ThDk,1972
32,I'm Still Standing,Elton John,Too Low for Zero,3:03,https://www.youtube.com/watch?v=ZHwVBirVoD0,ZHwVBirVoD0,1983
33,Your Song,Elton John,Elton John,4:02,https://www.youtube.com/watch?v=GlPhL5gW9E4,GlPhL5gW9E4,1970
34,Tiny Dancer,Elton John,Madman Across the Water,6:17,https://www.youtube.com/watch?v=Uy0m7jGv3Ns,Uy0m7jGv3Ns,1971
35,Dancing Queen,ABBA,Arrival,3:51,https://www.youtube.com/watch?v=xFrGuyw1V8s,xFrGuyw1V8s,1976
36,Mamma Mia,ABBA,ABBA,3:32,https://www.youtube.com/watch?v=unFzKcsu2TM,unFzKcsu2TM,1975
37,Gimme! Gimme! Gimme!,ABBA,Voulez-Vous,4:45,https://www.youtube.com/watch?v=XEjLoHdbVeE,XEjLoHdbVeE,1979
38,Take a Chance on Me,ABBA,The Album,4:05,https://www.youtube.com/watch?v=Z4Xe5R2u_jw,Z4Xe5R2u_jw,1977
39,Livin' on a Prayer,Bon Jovi,Slippery When Wet,4:09,https://www.youtube.com/watch?v=lDK9QqIzhwk,lDK9QqIzhwk,1986
40,Always,Bon Jovi,Cross Road,5:53,https://www.youtube.com/watch?v=vjVkXlxsH8g,vjVkXlxsH8g,1994
41,It's My Life,Bon Jovi,Crush,3:44,https://www.youtube.com/watch?v=vx2u5uUu3DE,vx2u5uUu3DE,2000
42,Sweet Child O' Mine,Guns N' Roses,Appetite for Destruction,5:56,https://www.youtube.com/watch?v=1w7OgIMMRc4,1w7OgIMMRc4,1987
43,November Rain,Guns N' Roses,Use Your Illusion I,8:57,https://www.youtube.com/watch?v=8SbUC-UaAxE,8SbUC-UaAxE,1991
44,Paradise City,Guns N' Roses,Appetite for Destruction,6:46,https://www.youtube.com/watch?v=Rbm6GXllBiw,Rbm6GXllBiw,1987
45,Welcome to the Jungle,Guns N' Roses,Appetite for Destruction,4:31,https://www.youtube.com/watch?v=o1tj2zJ2Wvg,o1tj2zJ2Wvg,1987
46,Smells Like Teen Spirit,Nirvana,Nevermind,5:01,https://www.youtube.com/watch?v=hTWKbfoikeg,hTWKbfoikeg,1991
47,Come as You Are,Nirvana,Nevermind,3:39,https://www.youtube.com/watch?v=vabnZ9-ex7o,vabnZ9-ex7o,1991
48,Lithium,Nirvana,Nevermind,4:17,https://www.youtube.com/watch?v=pkcJEvMcnEg,pkcJEvMcnEg,1991
49,Every Breath You Take,The Police,Synchronicity,4:13,https://www.youtube.com/watch?v=OmE7k3wH0ac,OmE7k3wH0ac,1983
50,Take On Me,a-ha,Hunting High and Low,3:46,https://www.youtube.com/watch?v=djV11Xbc914,djV11Xbc914,1985
51,Everybody Wants to Rule the World,Tears for Fears,Songs from the Big Chair,4:11,https://www.youtube.com/watch?v=aGCdLKXNF3w,aGCdLKXNF3w,1985
52,Girls Just Want to Have Fun,Cyndi Lauper,She's So Unusual,3:58,https://www.youtube.com/watch?v=PIb6AZdTr-A,PIb6AZdTr-A,1983
53,The Final Countdown,Europe,The Final Countdown,5:10,https://www.youtube.com/watch?v=9jK-NcRmVcw,9jK-NcRmVcw,1986
54,Eye of the Tiger,Survivor,Eye of the Tiger,4:05,https://www.youtube.com/watch?v=btPJPFnesV4,btPJPFnesV4,1982
55,Piano Man,Billy Joel,Piano Man,5:37,https://www.youtube.com/watch?v=gxEPV4kolz0,gxEPV4kolz0,1973
56,We Didn't Start the Fire,Billy Joel,Storm Front,4:49,https://www.youtube.com/watch?v=eFTLKWw542g,eFTLKWw542g,1989
57,Superstition,Stevie Wonder,Talking Book,4:26,https://www.youtube.com/watch?v=0CFuCYNx-1g,0CFuCYNx-1g,1972
58,Isn't She Lovely,Stevie Wonder,Songs in the Key of Life,6:34,https://www.youtube.com/watch?v=Qz3V0p2f8V8,Qz3V0p2f8V8,1976
59,All Night Long,Lionel Richie,Can't Slow Down,6:24,https://www.youtube.com/watch?v=0SElA2aV2Ks,0SElA2aV2Ks,1983
60,Say You Say Me,Lionel Richie,White Nights,4:02,https://www.youtube.com/watch?v=A-pQ6vcXVD0,A-pQ6vcXVD0,1985
61,All I Want for Christmas Is You,Mariah Carey,Merry Christmas,4:01,https://www.youtube.com/watch?v=yXQViqx6GMY,yXQViqx6GMY,1994
62,Hero,Mariah Carey,Music Box,4:17,https://www.youtube.com/watch?v=0IA3ZvCkRkQ,0IA3ZvCkRkQ,1993
63,We Belong Together,Mariah Carey,The Emancipation of Mimi,3:21,https://www.youtube.com/watch?v=HabrGc7uCM0,HabrGc7uCM0,2005
64,My Heart Will Go On,Celine Dion,Let's Talk About Love,4:40,https://www.youtube.com/watch?v=3g1zqN4yWqk,3g1zqN4yWqk,1997
65,Because You Loved Me,Celine Dion,Falling into You,4:33,https://www.youtube.com/watch?v=onmx2lfnZhU,onmx2lfnZhU,1996
66,Toxic,Britney Spears,In the Zone,3:21,https://www.youtube.com/watch?v=LOZuxa3is-0,LOZuxa3is-0,2003
