#,Title,Artist,Movie,Duration,YouTube URL,Video ID,Year
1,Saiyaara,Tanishk Bagchi ft. Faheem Abdullah,Saiyaara,4:18,https://www.youtube.com/watch?v=BSJa1UytM8w,BSJa1UytM8w,2025
2,Barbaad,Jubin Nautiyal,Saiyaara,5:57,https://www.youtube.com/watch?v=0v5eHPfy5Lk,0v5eHPfy5Lk,2025
3,Tum Ho Toh,Vishal Mishra & Hansika Pareek,Saiyaara,3:17,https://www.youtube.com/watch?v=rOUuGvJkBrQ,rOUuGvJkBrQ,2025
4,Preet Re,Darshan Raval & Jonita Gandhi,Dhadak 2,3:28,https://www.youtube.com/watch?v=k6q4lENp434,k6q4lENp434,2025
5,Bas Ek Dhadak,Shreya Ghoshal & Jubin Nautiyal,Dhadak 2,4:02,https://www.youtube.com/watch?v=iUqPfGlg9GQ,iUqPfGlg9GQ,2025
6,Dhurandhar Title Track,Hanumankind & Jasmine Sandlas,Dhurandhar,2:41,https://www.youtube.com/watch?v=1a5nyrMtRsk,1a5nyrMtRsk,2025
7,FA9LA,Flipperachi,Dhurandhar,2:30,https://www.youtube.com/watch?v=HV6RakCs2dc,HV6RakCs2dc,2025
8,Gehra Hua,Arijit Singh,Dhurandhar,4:05,https://www.youtube.com/watch?v=GX9x62kFsVU,GX9x62kFsVU,2025when 
9,Qayde Se,Arijit Singh,Metro In Dino,2:22,https://www.youtube.com/watch?v=fG7gDxeu2R0,fG7gDxeu2R0,2025
10,Zamaana Lage,Arijit Singh,Metro In Dino,4:12,https://www.youtube.com/watch?v=UEZm0U6KrfY,UEZm0U6KrfY,2025
11,Pardesiya,Sonu Nigam & Sachin-Jigar,Param Sundari,3:47,https://www.youtube.com/watch?v=N4wK3NtVRT0,N4wK3NtVRT0,2025
12,Tere Ishq Mein,Arijit Singh,Tere Ishq Mein,5:50,https://www.youtube.com/watch?v=YmgHdpl4dBs,YmgHdpl4dBs,2025
13,Rehna Kol,Jubin Nautiyal & Zahrah S Khan,Loveyapa,3:44,https://www.youtube.com/watch?v=OTUpZk4Uiik,OTUpZk4Uiik,2025
14,Bijuria,Sonu Nigam & Asees Kaur,Sunny Sanskari Ki Tulsi Kumari,3:30,https://www.youtube.com/watch?v=nYLkyW2dDXU,nYLkyW2dDXU,2025
15,Uyi Amma,Madhubanti Bagchi,Azaad,3:52,https://www.youtube.com/watch?v=FZLadzn5i6Q,FZLadzn5i6Q,2025
16,Aavan Jaavan,Arijit Singh & Nikhita Gandhi,War 2,3:15,https://www.youtube.com/watch?v=enjkcCdAlXc,enjkcCdAlXc,2025
17,Jaane Tu,Arijit Singh,Chhaava,4:16,https://www.youtube.com/watch?v=d6KJkavA8zk,d6KJkavA8zk,2025
18,Tu Hain Toh Main Hoon,Arijit Singh & Afsana Khan,Sky Force,4:07,https://www.youtube.com/watch?v=CKJA9blyMUg,CKJA9blyMUg,2025
19,Deewaniyat,Vishal Mishra,Ek Deewane Ki Deewaniyat,3:56,https://www.youtube.com/watch?v=Qo4IOTAbGAM,Qo4IOTAbGAM,2025
20,Ishq Mein,Sachet Tandon & Asees Kaur,Nadaaniyan,4:22,https://www.youtube.com/watch?v=hrr41U4fj54,hrr41U4fj54,2025
21,Koi Naa,Harnoor & Shreya Ghoshal,Bhool Chuk Maaf,2:52,https://www.youtube.com/watch?v=jdqUfW21vAY,jdqUfW21vAY,2025
22,Raat Bhar,Aditya Rikhari & Payal Dev,De De Pyaar De 2,3:17,https://www.youtube.com/watch?v=0Wry9IkwvU0,0Wry9IkwvU0,2025
23,Sitare Zameen Par,Siddharth Mahadevan & Shankar Mahadevan,Sitare Zameen Par,2:46,https://www.youtube.com/watch?v=q7MpzJQiJr8,q7MpzJQiJr8,2025
24,Ghafoor,Shilpa Rao & Ujwal Gupta,The Bads of Bollywood,2:46,https://www.youtube.com/watch?v=WsllF4THOYk,WsllF4THOYk,2025
25,Raanjhan,Parampara Tandon,Do Patti,2:40,https://www.youtube.com/watch?v=lBvbNxiVmZA,lBvbNxiVmZA,2024
26,Khairiyat,Arijit Singh,Chhichhore,4:40,https://www.youtube.com/watch?v=hoNb6HuNmU0,hoNb6HuNmU0,2019
